"Région","District","Catégorie","Sous-catégorie","Désignation","Valeur"
"GRANDS-PONTS","District des Grands-Ponts","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",4621
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",10120
"LA ME","District de La Mé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",8423
"TONKPI","District de Tonkpi","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",20725
"CAVALLY","District des Montagnes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",14694
"GUEMON","District des Montagnes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",8207
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",20230
"MARAHOUE","District du Sassandra-Marahoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",14555
"HAMBOL","District de la Vallée du Bandama","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",9700
"GBEKE","District de la Vallée du Bandama","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",11731
"BERE","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",7479
"BAFING","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",6389
"WORODOUGOU","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",6657
"Autres","Autres","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez la femme enceinte",31112
"KABADOUGOU","District du Denguélé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",31577
"FOLON","District du Denguélé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",14841
"PORO","District du Poro","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",82494
"BAGOUE","District du Bagoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",46297
"TCHOLOGO","District du Tchologo","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",65872
"BOUNKANI","District du Bounkani","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",86808
"GONTOUGO","District du Gontougo","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",120855
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",40172
"NAWA","District des Lagunes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",181602
"GBÔKLE","District des Lagunes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",79195
"SAN-PEDRO","District de San-Pedro","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",102716
"INDENIE-DJUABLIN","District du Sud-Comoé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",76664
"SUD-COMOE","District du Sud-Comoé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",71746
"GÔH","District du Gôh-Djiboua","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",109648
"LÔH-DJIBOUA","District du Gôh-Djiboua","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",97666
"BELIER","District du Bélier","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",74998
"IFFOU","District de l'Iffou","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",57514
"MORONOU","District du Moronou","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",74443
"N'ZI","District du N'Zi","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",37399
"GRANDS-PONTS","District des Grands-Ponts","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",36852
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",102620
"LA ME","District de La Mé","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",67903
"TONKPI","District de Tonkpi","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",147291
"CAVALLY","District des Montagnes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",92410
"GUEMON","District des Montagnes","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",59703
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",150967
"MARAHOUE","District du Sassandra-Marahoué","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",141286
"HAMBOL","District de la Vallée du Bandama","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",77071
"GBEKE","District de la Vallée du Bandama","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",104932
"BERE","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",49046
"BAFING","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",41040
"WORODOUGOU","District du Woroba","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",53499
"Autres","Autres","Santé","Lutte contre le paludisme","Nombre de cas de paludismes confirmés et traités chez les enfants de 0-4 ans",169062
"KABADOUGOU","District du Denguélé","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1401
"FOLON","District du Denguélé","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",0
"PORO","District du Poro","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",7430
"BAGOUE","District du Bagoué","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1370
"TCHOLOGO","District du Tchologo","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",2841
"BOUNKANI","District du Bounkani","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1941
"GONTOUGO","District du Gontougo","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",4918
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",9623
"NAWA","District des Lagunes","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",5037
"GBÔKLE","District des Lagunes","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1970
"SAN-PEDRO","District de San-Pedro","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",3689
"INDENIE-DJUABLIN","District du Sud-Comoé","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",5204
"SUD-COMOE","District du Sud-Comoé","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",128722
"GÔH","District du Gôh-Djiboua","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",5466
"LÔH-DJIBOUA","District du Gôh-Djiboua","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",9196
"BELIER","District du Bélier","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1652
"IFFOU","District de l'Iffou","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",2315
"MORONOU","District du Moronou","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",2988
"N'ZI","District du N'Zi","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1737
"GRANDS-PONTS","District des Grands-Ponts","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1644
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",5550
"LA ME","District de La Mé","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",4811
"TONKPI","District de Tonkpi","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",5922
"CAVALLY","District des Montagnes","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",3366
"GUEMON","District des Montagnes","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",2370
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",11963
"MARAHOUE","District du Sassandra-Marahoué","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",5533
"HAMBOL","District de la Vallée du Bandama","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",2273
"GBEKE","District de la Vallée du Bandama","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1942
"BERE","District du Woroba","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",230
"BAFING","District du Woroba","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",2573
"WORODOUGOU","District du Woroba","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",1230
"Autres","Autres","Santé","Produits sanguins","Nombre d’unités de poche de sang reçus à l'hôpital de référence - CHR+HG",91147
"KABADOUGOU","District du Denguélé","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1167
"FOLON","District du Denguélé","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",0
"PORO","District du Poro","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",7422
"BAGOUE","District du Bagoué","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1370
"TCHOLOGO","District du Tchologo","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",2888
"BOUNKANI","District du Bounkani","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1888
"GONTOUGO","District du Gontougo","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",4843
"YAMOUSSOUKRO","District autonome de Yamoussoukro","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",14461
"NAWA","District des Lagunes","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",5059
"GBÔKLE","District des Lagunes","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1768
"SAN-PEDRO","District de San-Pedro","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",3689
"INDENIE-DJUABLIN","District du Sud-Comoé","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",5072
"SUD-COMOE","District du Sud-Comoé","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",186944
"GÔH","District du Gôh-Djiboua","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",5462
"LÔH-DJIBOUA","District du Gôh-Djiboua","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",9170
"BELIER","District du Bélier","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1623
"IFFOU","District de l'Iffou","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",2315
"MORONOU","District du Moronou","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",2884
"N'ZI","District du N'Zi","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1719
"GRANDS-PONTS","District des Grands-Ponts","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1533
"AGNEBY-TIASSA","District de l'Agnéby-Tiassa","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",5604
"LA ME","District de La Mé","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",6574
"TONKPI","District de Tonkpi","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",5922
"CAVALLY","District des Montagnes","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",3373
"GUEMON","District des Montagnes","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",2370
"HAUT-SASSANDRA","District du Sassandra-Marahoué","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",12102
"MARAHOUE","District du Sassandra-Marahoué","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",5536
"HAMBOL","District de la Vallée du Bandama","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",2272
"GBEKE","District de la Vallée du Bandama","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1932
"BERE","District du Woroba","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",182
"BAFING","District du Woroba","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",2460
"WORODOUGOU","District du Woroba","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",1230
"Autres","Autres","Santé","Produits sanguins","Nombre d’unités de poche de sang transfusés à l'hôpital de référence - CHR+HG",78843
